Method,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
AES-128-Encrpytion,127,99,100,100,99,100,100,100,100,100,100,99,100,100,100,100,100,100,100,99,100,99,100,99,99,100,100,155,100,99,100,104,100,100,100,100,99,99,100,99,99,99,99,99,100,99,99,100,100,100,99,100,100,100,171,103,100,100,100,103,99,100,100,99,100,100,100,100,100,100,100,100,100,100,100,99,100,100,100,100,99,155,100,100,103,99,100,100,99,99,100,100,99,100,100,100,100,100,100,100
AES-128-Decrpytion,127,99,100,100,99,100,100,100,100,100,100,99,100,100,100,100,100,100,100,99,100,99,100,99,99,100,100,155,100,99,100,104,100,100,100,100,99,99,100,99,99,99,99,99,100,99,99,100,100,100,99,100,100,100,171,103,100,100,100,103,99,100,100,99,100,100,100,100,100,100,100,100,100,100,100,99,100,100,100,100,99,155,100,100,103,99,100,100,99,99,100,100,99,100,100,100,100,100,100,100
AES-192-Encrpytion,212,118,119,119,118,119,118,119,119,119,119,118,119,118,118,119,118,119,118,118,119,119,119,119,119,194,119,122,119,119,119,118,119,118,119,118,118,118,118,119,119,118,118,119,119,119,119,119,119,119,119,177,119,123,119,118,119,118,119,119,118,119,118,118,119,119,118,119,119,119,119,119,118,119,118,119,197,118,119,119,119,119,119,118,119,118,119,119,119,118,118,119,118,118,119,119,118,119,119,119
AES-192-Decrpytion,212,118,119,119,118,119,118,119,119,119,119,118,119,118,118,119,118,119,118,118,119,119,119,119,119,194,119,122,119,119,119,118,119,118,119,118,118,118,118,119,119,118,118,119,119,119,119,119,119,119,119,177,119,123,119,118,119,118,119,119,118,119,118,118,119,119,118,119,119,119,119,119,118,119,118,119,197,118,119,119,119,119,119,118,119,118,119,119,119,118,118,119,118,118,119,119,118,119,119,119
AES-256-Encrpytion,220,138,138,138,137,137,138,138,138,138,138,138,137,138,138,137,137,137,138,138,138,137,138,137,138,217,141,137,137,138,138,137,137,137,137,137,137,138,138,137,138,137,137,137,138,138,138,137,138,138,137,197,142,138,138,137,138,138,137,138,138,138,137,138,138,138,138,138,138,138,138,138,138,137,137,138,220,138,137,137,137,137,138,137,137,137,138,138,138,138,138,138,138,138,137,138,138,138,137,138
AES-256-Decrpytion,220,138,138,138,137,137,138,138,138,138,138,138,137,138,138,137,137,137,138,138,138,137,138,137,138,217,141,137,137,138,138,137,137,137,137,137,137,138,138,137,138,137,137,137,138,138,138,137,138,138,137,197,142,138,138,137,138,138,137,138,138,138,137,138,138,138,138,138,138,138,138,138,138,137,137,138,220,138,137,137,137,137,138,137,137,137,138,138,138,138,138,138,138,138,137,138,138,138,137,138
