Method,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
AES-128-GCM-Encrpytion,1241,1226,1225,1239,1225,1225,1226,1225,1225,1225,1226,1225,1225,1225,1225,1225,1225,1225,1225,1225,1225,1225,1225,1226,1225,1225,1225,1226,1225,1225,1225,1226,1225,1225,1225,1225,1225,1225,1225,1225,1226,1449,1229,1229,1229,1229,1229,1229,1228,1229,1228,1229,1229,1229,1229,1229,1233,1229,1228,1229,1228,1229,1229,1229,1229,1229,1229,1228,1229,1228,1229,1229,1229,1229,1229,1229,1229,1229,1228,1229,1228,1243,1228,1229,1450,1229,1228,1229,1229,1229,1229,1232,1228,1229,1228,1229,1229,1229,1229,1229
AES-128-GCM-Decrpytion,1308,1226,1226,1226,1225,1225,1225,1229,1225,1225,1225,1225,1226,1226,1226,1225,1225,1225,1225,1225,1226,1226,1226,1225,1225,1225,1225,1226,1226,1226,1225,1225,1225,1225,1226,1226,1226,1225,1225,1225,1225,1454,1225,1229,1226,1225,1225,1225,1225,1226,1240,1225,1225,1225,1226,1226,1226,1225,1225,1225,1225,1226,1226,1225,1225,1225,1225,1226,1226,1225,1225,1225,1225,1226,1226,1226,1225,1225,1225,1226,1226,1226,1225,1225,1450,1226,1226,1225,1225,1225,1226,1226,1226,1225,1225,1225,1226,1226,1229,1225
AES-192-GCM-Encrpytion,1409,1376,1377,1377,1377,1377,1377,1377,1377,1377,1380,1377,1377,1377,1377,1377,1376,1377,1377,1377,1377,1377,1377,1377,1377,1377,1376,1377,1377,1377,1377,1377,1377,1377,1377,1377,1376,1377,1391,1377,1377,1602,1385,1381,1382,1382,1382,1381,1381,1381,1381,1382,1382,1381,1381,1381,1381,1381,1382,1382,1381,1381,1381,1381,1382,1382,1382,1381,1381,1381,1381,1382,1382,1381,1381,1381,1381,1381,1382,1382,1381,1381,1381,1381,1602,1381,1381,1381,1382,1382,1381,1381,1385,1382,1381,1381,1381,1381,1382,1382
AES-192-GCM-Decrpytion,1465,1378,1378,1378,1378,1382,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1607,1382,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1392,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1602,1381,1378,1378,1378,1378,1378,1379,1378,1378,1378,1378,1378,1378,1378,1378
AES-256-GCM-Encrpytion,1568,1529,1529,1529,1529,1540,1529,1529,1529,1529,1533,1529,1529,1529,1529,1529,1529,1529,1529,1529,1529,1528,1529,1528,1529,1528,1529,1528,1529,1528,1529,1528,1529,1528,1529,1528,1529,1528,1529,1529,1529,1754,1533,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1754,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1548
AES-256-GCM-Decrpytion,1618,1531,1530,1531,1531,1530,1531,1530,1531,1530,1534,1531,1531,1530,1531,1530,1531,1531,1531,1531,1530,1531,1530,1531,1531,1530,1531,1530,1531,1530,1531,1531,1530,1531,1530,1531,1530,1531,1531,1530,1531,1759,1531,1530,1531,1531,1531,1531,1530,1531,1530,1531,1530,1531,1530,1531,1531,1545,1531,1530,1531,1530,1531,1530,1531,1530,1531,1531,1531,1531,1530,1531,1530,1531,1530,1531,1530,1531,1531,1530,1531,1530,1531,1530,1755,1531,1531,1530,1531,1530,1531,1530,1531,1530,1531,1531,1530,1531,1530,1531
