Method,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
AES-128-GCM-Encrpytion,1238,1225,1225,1225,1225,1225,1225,1225,1226,1225,1225,1225,1226,1225,1225,1228,1225,1225,1226,1225,1225,1225,1225,1225,1225,1225,1225,1225,1225,1225,1225,1226,1225,1240,1226,1225,1225,1225,1225,1225,1225,1449,1229,1229,1229,1229,1229,1229,1229,1229,1228,1232,1229,1229,1229,1229,1229,1229,1228,1229,1228,1229,1228,1229,1229,1229,1229,1229,1229,1228,1229,1228,1229,1229,1229,1229,1229,1229,1228,1229,1228,1229,1228,1229,1449,1228,1229,1228,1229,1229,1229,1229,1229,1228,1229,1228,1229,1228,1229,1229
AES-128-GCM-Decrpytion,1308,1226,1226,1244,1225,1225,1226,1226,1226,1226,1225,1225,1225,1225,1226,1226,1226,1225,1225,1225,1225,1226,1226,1226,1225,1225,1225,1225,1226,1226,1226,1225,1225,1225,1225,1225,1226,1226,1225,1225,1225,1454,1226,1226,1225,1225,1225,1225,1226,1226,1225,1225,1225,1225,1226,1226,1225,1225,1225,1225,1226,1226,1225,1225,1225,1225,1226,1226,1226,1225,1225,1225,1226,1226,1226,1225,1225,1225,1226,1226,1226,1240,1225,1225,1450,1226,1225,1225,1225,1226,1226,1226,1225,1225,1225,1225,1225,1225,1225,1226
AES-192-GCM-Encrpytion,1421,1377,1377,1377,1377,1377,1377,1381,1377,1377,1377,1377,1376,1377,1377,1377,1377,1377,1377,1377,1377,1377,1376,1377,1377,1377,1377,1377,1377,1377,1377,1377,1376,1377,1377,1377,1377,1377,1377,1377,1377,1601,1381,1381,1381,1382,1382,1382,1381,1381,1381,1381,1382,1382,1381,1381,1381,1381,1381,1382,1382,1381,1396,1381,1381,1381,1382,1382,1382,1381,1381,1381,1381,1382,1382,1382,1381,1381,1381,1381,1382,1382,1381,1381,1602,1381,1382,1382,1384,1382,1382,1382,1381,1381,1381,1381,1382,1382,1382,1381
AES-192-GCM-Decrpytion,1464,1378,1381,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1393,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1607,1378,1382,1378,1389,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1603,1378,1378,1378,1378,1378,1378,1378,1378,1393,1378,1378,1378,1378,1378,1378
AES-256-GCM-Encrpytion,1557,1543,1529,1529,1529,1529,1529,1528,1532,1529,1528,1529,1528,1529,1528,1529,1528,1529,1528,1529,1528,1529,1528,1529,1528,1529,1528,1529,1529,1529,1529,1529,1529,1529,1529,1529,1529,1529,1529,1529,1529,1754,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1537,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1549,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1547,1533,1534,1534,1534,1534,1534,1754,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534
AES-256-GCM-Decrpytion,1618,1531,1531,1530,1531,1530,1531,1531,1531,1534,1531,1530,1531,1530,1531,1531,1530,1531,1530,1531,1530,1531,1531,1545,1531,1531,1531,1531,1530,1531,1530,1531,1531,1530,1531,1530,1531,1530,1531,1531,1530,1759,1531,1530,1531,1530,1531,1530,1531,1531,1531,1531,1530,1531,1534,1530,1531,1530,1531,1531,1531,1531,1530,1531,1530,1531,1530,1531,1531,1531,1531,1530,1531,1530,1531,1530,1531,1530,1531,1531,1531,1531,1530,1531,1755,1530,1531,1530,1531,1530,1531,1531,1530,1531,1530,1531,1530,1531,1530,1531
